FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
29-07-2023 14:00;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de sede;Resuelto
29-07-2023 13:59;INGENIERÍA EN MARKETING DIGITAL;Académico;Documentos o archivos;Horario;Resuelto
29-07-2023 13:47;INGENIERÍA EN INFORMÁTICA;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
29-07-2023 13:39;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Consultas periodo TAV;Resuelto
29-07-2023 13:02;TURISMO Y HOTELERÍA;Inscripción de asign;Oferta académica;Tope de horario;Resuelto
29-07-2023 12:24;AUDITORÍA - Vespertino;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
29-07-2023 12:04;INGENIERÍA EN COMERCIO EXTERIOR;Inscripción de asign;Información del proceso;Inscripción asistida;Resuelto
29-07-2023 10:55;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Inscripción asistida;Resuelto
29-07-2023 10:27;ADMINISTRACIÓN DE REDES Y TELECOMUNICACIONES;Inscripción de asign;Oferta académica;Tope de horario;Resuelto
29-07-2023 10:19;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
29-07-2023 8:52;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Bloqueos;Bloqueo financiero;Resuelto
29-07-2023 8:42;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Bloqueos;Bloqueo académico;Resuelto
28-07-2023 20:39;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 20:14;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Información o convalidación;Asignaturas;Resuelto
28-07-2023 19:32;INGENIERÍA EN MARKETING;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 19:26;GASTRONOMÍA INTERNACIONAL;Académico;Interrupción del semestre;Suspensión;Resuelto
28-07-2023 19:16;TOURISM AND HOSPITALITY;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 19:15;GASTRONOMÍA INTERNACIONAL;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
28-07-2023 19:14;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 19:12;INGENIERÍA EN CONECTIVIDAD Y REDES;Titulado;Información y gestión;Cuenta titulado;Resuelto
28-07-2023 19:12;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
28-07-2023 18:52;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 18:50;ECOTURISMO;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 18:46;INGENIERÍA EN CONECTIVIDAD Y REDES;Inscripción de asign;Oferta académica;Tope de horario;Resuelto
28-07-2023 18:42;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
28-07-2023 18:35;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
28-07-2023 18:35;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 18:31;GASTRONOMÍA INTERNACIONAL;Financiamiento;Gratuidad;Condiciones del beneficio;Resuelto
28-07-2023 18:31;INGENIERÍA EN INFORMÁTICA;Académico;Documentos o archivos;Horario;Resuelto
28-07-2023 18:29;TURISMO Y HOTELERÍA;Tecnología;Plataformas Alumnos;Solicitudes en Línea;Resuelto
28-07-2023 18:27;TOURISM AND HOSPITALITY;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
28-07-2023 18:25;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 18:23;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
28-07-2023 18:21;TOURISM AND HOSPITALITY;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
28-07-2023 18:15;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Tecnología;Plataformas Alumnos;SAP NetWork IA;Resuelto
28-07-2023 18:01;ECOTURISMO;Tecnología;Plataformas Alumnos;Solicitudes en Línea;Resuelto
28-07-2023 17:58;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 17:44;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
28-07-2023 17:43;INGENIERÍA EN CONECTIVIDAD Y REDES;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 17:26;GASTRONOMÍA INTERNACIONAL;Académico;Documentos o archivos;Certificado de alumno regular;Resuelto
28-07-2023 17:22;GASTRONOMÍA INTERNACIONAL;Tecnología;Plataformas Alumnos;SAP NetWork IA;Derivación G-Desk
28-07-2023 17:21;INGENIERÍA EN CONECTIVIDAD Y REDES;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 17:14;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Admisión especial interna ;Cambio de sede;Resuelto
28-07-2023 17:13;ECOTURISMO;Académico;Interrupción del semestre;Suspensión;Resuelto
28-07-2023 17:08;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Académico;Documentos o archivos;Concentración de notas;Resuelto
28-07-2023 17:06;INGENIERÍA EN CONECTIVIDAD Y REDES;Inscripción de asign;Información del proceso;Inscripción asistida;Resuelto
28-07-2023 17:01;ECOTURISMO;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 16:47;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
28-07-2023 16:46;GASTRONOMÍA INTERNACIONAL;Académico;Interrupción del semestre;Suspensión;Resuelto
28-07-2023 16:45;ECOTURISMO;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 16:41;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
28-07-2023 16:39;INGENIERÍA EN INFORMÁTICA;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 16:32;INGENIERÍA EN COMERCIO EXTERIOR;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 16:30;INGENIERÍA EN INFRAESTRUCTURA Y PLATAFORMAS TECNOLÓGICAS;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 16:15;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 16:13;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 16:07;INGENIERÍA EN COMERCIO EXTERIOR;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
28-07-2023 16:01;INGENIERÍA EN MARKETING;Inscripción de asign;Información del proceso;Retiro de asignatura;Resuelto
28-07-2023 15:59;TURISMO Y HOTELERÍA;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 15:58;INGENIERÍA EN INFORMÁTICA;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 15:58;TÉCNICO EN ADMINISTRACIÓN;Académico;Admisión especial interna ;Cambio de sede;Resuelto
28-07-2023 15:55;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
28-07-2023 15:52;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
28-07-2023 15:49;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Interrupción del semestre;Suspensión;Resuelto
28-07-2023 15:48;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
28-07-2023 15:44;TURISMO Y HOTELERÍA;Académico;Información o convalidación;Asignaturas;Resuelto
28-07-2023 15:43;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 15:42;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 15:39;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
28-07-2023 15:39;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 15:34;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Información del proceso;Inscripción asistida;Resuelto
28-07-2023 15:33;TURISMO Y HOTELERÍA;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
28-07-2023 15:33;INGENIERÍA EN INFORMÁTICA;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
28-07-2023 15:32;ECOTURISMO;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
28-07-2023 15:32;TÉCNICO EN ADMINISTRACIÓN;Tecnología;Plataformas Alumnos;Portal Vivo Duoc Web;Resuelto
